libelle_departement,Cardiologues,Chirurgiens-dentistes,Dermatologues,Gynécologues médicaux et obstétriciens,Hépato-gastro-entérologues,Médecins généralistes,Neurologues,Ophtalmologues,Pneumologues,Psychiatres
Nièvre,4.5,43.1,0.0,7.8,1.5,57.6,2.0,6.0,1.0,4.0
Nord,6.8,51.4,2.8,14.4,3.1,83.9,1.3,6.2,1.8,5.6
Oise,4.7,36.6,1.4,9.3,2.3,56.1,1.2,4.5,1.1,3.0
Orne,5.1,29.8,1.1,7.6,1.8,55.2,0.0,2.9,2.2,2.6
Paris,16.4,100.7,15.2,55.6,7.8,87.3,4.1,18.2,2.7,62.3
Pas-de-Calais,5.4,45.9,1.4,7.9,2.6,73.8,0.8,3.9,2.1,2.1
Puy-de-Dôme,10.2,64.6,4.7,12.3,2.6,84.6,1.5,6.6,0.9,14.0
Pyrénées-Atlantiques,12.9,79.0,6.7,18.3,4.2,103.9,3.2,9.7,4.3,11.9
Pyrénées-Orientales,9.3,61.3,2.4,16.8,3.2,88.5,0.6,8.1,3.2,6.5
Rhône,8.3,65.4,4.1,21.5,4.5,87.1,2.6,8.0,1.8,16.4
Sarthe,4.3,30.8,1.2,9.5,1.9,55.3,0.5,3.7,0.9,3.7
Savoie,5.5,63.6,3.5,11.8,2.4,106.4,3.1,7.1,1.3,7.9
Saône-et-Loire,4.8,42.0,2.0,8.8,2.2,55.9,1.3,5.0,0.6,7.0
Seine-Maritime,6.1,38.2,3.6,10.2,2.9,75.8,2.5,5.6,1.4,6.3
Seine-Saint-Denis,7.4,27.5,1.1,10.1,1.9,44.1,0.5,2.9,0.5,3.9
Seine-et-Marne,4.7,40.7,1.1,11.0,1.6,46.4,0.5,4.8,0.9,4.2
Somme,7.3,31.4,3.4,9.0,4.3,87.2,2.0,6.1,2.5,6.6
Tarn,5.0,50.3,3.2,8.5,3.2,69.3,2.2,6.5,2.2,4.2
Tarn-et-Garonne,10.1,49.7,0.7,12.3,2.6,64.6,1.5,7.8,3.0,3.0
Territoire de Belfort,9.4,45.5,3.6,18.9,2.2,64.3,2.9,9.4,3.6,7.2
Val-d'Oise,4.5,41.7,1.8,15.1,2.4,50.9,0.9,4.5,1.2,4.7
Val-de-Marne,6.9,47.0,3.6,15.8,2.7,56.1,1.4,5.4,1.6,6.0
Var,8.9,72.3,4.3,14.0,3.3,81.4,1.4,9.0,2.2,9.6
Vaucluse,8.4,51.1,2.6,17.4,3.1,74.4,1.6,7.7,2.1,7.0
Vendée,3.3,44.8,1.4,7.3,2.4,59.3,1.0,4.6,0.8,2.8
Vienne,6.9,38.9,3.9,9.4,2.7,83.0,1.8,5.0,0.9,3.4
Vosges,4.8,50.5,1.7,9.7,0.9,75.8,0.6,3.1,0.6,2.3
Yonne,4.8,34.1,1.2,7.7,1.8,50.4,1.2,2.7,2.1,6.9
Yvelines,7.8,52.4,3.2,18.1,3.0,56.2,1.6,7.5,1.7,7.0
